time/time_elapsed,train/policy_loss,train/n_updates,time/iterations,train/reward,time/total_timesteps,train/explained_variance,train/entropy_loss,time/fps,train/value_loss,train/std,train/learning_rate
141,36.184600830078125,6099,6100,-3.6593535,30500,0.0,-41.963260650634766,215,5.990525722503662,1.03044593334198,0.0007
143,-314.79473876953125,6199,6200,-0.9255589,31000,0.0,-41.948177337646484,215,53.36162185668945,1.0295463800430298,0.0007
145,127.40412902832031,6299,6300,1.6609839,31500,0.0,-42.055973052978516,215,16.717575073242188,1.0331494808197021,0.0007
148,9.44297981262207,6399,6400,2.101545,32000,-0.22663664817810059,-42.0795783996582,215,0.23201298713684082,1.03426992893219,0.0007
150,5.994128227233887,6499,6500,-3.0210056,32500,0.0,-42.1180419921875,215,2.308112621307373,1.0355461835861206,0.0007
152,-47.4293098449707,6599,6600,-1.7512325,33000,5.960464477539063e-08,-42.14668273925781,215,6.938800811767578,1.0369197130203247,0.0007
155,-1086.485107421875,6699,6700,-7.2212753,33500,-0.0009753704071044922,-42.187339782714844,216,774.5030517578125,1.0380351543426514,0.0007
157,-187.78436279296875,6799,6800,0.5006257,34000,0.0,-42.22810363769531,216,26.67755126953125,1.039656162261963,0.0007
159,556.5052490234375,6899,6900,-1.0556256,34500,0.0,-42.24761199951172,216,214.156494140625,1.04013991355896,0.0007
161,-13.669812202453613,6999,7000,0.004564484,35000,1.1920928955078125e-07,-42.25920867919922,216,0.27463895082473755,1.0408146381378174,0.0007
164,26.4970703125,7099,7100,1.2030636,35500,1.1920928955078125e-07,-42.28380584716797,216,1.616263747215271,1.0417158603668213,0.0007
166,-244.3913116455078,7199,7200,0.9509411,36000,0.0,-42.31568145751953,216,34.00626754760742,1.0428051948547363,0.0007
168,-86.13558197021484,7299,7300,-0.73567665,36500,5.960464477539063e-08,-42.36725997924805,216,6.530946254730225,1.0444154739379883,0.0007
171,318.2586975097656,7399,7400,-11.092814,37000,0.0,-42.41963195800781,216,70.8349380493164,1.0468271970748901,0.0007
173,62.32513427734375,7499,7500,-0.6032979,37500,0.0,-42.39636993408203,216,4.866775989532471,1.045737862586975,0.0007
175,-76.16477966308594,7599,7600,0.39574036,38000,0.0,-42.43505096435547,216,4.422914028167725,1.0478971004486084,0.0007
178,22.93903160095215,7699,7700,0.7699531,38500,-1.1920928955078125e-07,-42.478759765625,216,1.1618764400482178,1.0490503311157227,0.0007
180,1.2979700565338135,7799,7800,0.16153042,39000,0.0,-42.4471321105957,216,0.23023715615272522,1.0477699041366577,0.0007
182,201.4145965576172,7899,7900,2.3336678,39500,0.0,-42.451446533203125,216,32.112640380859375,1.0480155944824219,0.0007
184,-66.25977325439453,7999,8000,-1.2450299,40000,0.0,-42.45197296142578,216,5.741856098175049,1.04783034324646,0.0007
187,39.50785446166992,8099,8100,7.3314247,40500,0.0,-42.44669723510742,216,8.26978874206543,1.047816276550293,0.0007
189,76.39787292480469,8199,8200,-0.36449894,41000,0.0,-42.46631622314453,216,4.145245552062988,1.048399567604065,0.0007
191,24.623859405517578,8299,8300,-1.8494378,41500,0.0,-42.43604278564453,216,1.2166833877563477,1.0473634004592896,0.0007
194,-47.0374641418457,8399,8400,-6.3492785,42000,0.0,-42.57727813720703,216,1.9841899871826172,1.0520037412643433,0.0007
196,-215.6846923828125,8499,8500,-0.20927218,42500,0.0,-42.55230712890625,216,28.206186294555664,1.0514912605285645,0.0007
198,129.704345703125,8599,8600,-5.3449225,43000,0.0,-42.6074333190918,216,25.3279972076416,1.0533978939056396,0.0007
201,9.860404968261719,8699,8700,-0.32969922,43500,-0.1213221549987793,-42.647037506103516,216,1.2258549928665161,1.0550868511199951,0.0007
203,-5.5205583572387695,8799,8800,-0.20421901,44000,-1.1920928955078125e-07,-42.702945709228516,216,0.3170982003211975,1.0570095777511597,0.0007
205,-30.96866798400879,8899,8900,-0.07289057,44500,0.0,-42.713584899902344,216,3.52183198928833,1.0573467016220093,0.0007
207,-32.373897552490234,8999,9000,0.084464975,45000,-1.1920928955078125e-07,-42.72616195678711,216,7.4862518310546875,1.0579522848129272,0.0007
210,9.969110488891602,9099,9100,1.7166889,45500,-1.1920928955078125e-07,-42.74362564086914,216,1.5201432704925537,1.0586156845092773,0.0007
212,-109.12530517578125,9199,9200,1.9686435,46000,0.0,-42.77536392211914,216,34.80942153930664,1.0596137046813965,0.0007
214,-125.75794982910156,9299,9300,0.2299313,46500,5.960464477539063e-08,-42.758392333984375,216,10.814348220825195,1.0589076280593872,0.0007
217,76.69328308105469,9399,9400,0.10986302,47000,1.1920928955078125e-07,-42.839927673339844,216,10.447823524475098,1.0620616674423218,0.0007
219,-109.20115661621094,9499,9500,-0.19495136,47500,0.0,-42.86035919189453,216,8.468551635742188,1.062794804573059,0.0007
221,-93.69343566894531,9599,9600,-0.7193017,48000,0.0,-42.97981643676758,216,8.562834739685059,1.0670840740203857,0.0007
223,-24.671428680419922,9699,9700,-0.85689735,48500,0.0,-42.99159622192383,216,0.5575149059295654,1.0675599575042725,0.0007
226,102.4005126953125,9799,9800,1.6914376,49000,0.0,-43.03499221801758,216,25.797693252563477,1.068780541419983,0.0007
228,24.1253662109375,9899,9900,-0.4462749,49500,-1.1920928955078125e-07,-43.083351135253906,216,0.3743998110294342,1.0708487033843994,0.0007
230,53.161895751953125,9999,10000,0.026832925,50000,0.0,-43.12153625488281,216,2.350641965866089,1.0723333358764648,0.0007
