time/iterations,train/std,time/total_timesteps,train/n_updates,train/entropy_loss,train/learning_rate,time/fps,train/explained_variance,train/policy_loss,time/time_elapsed,train/value_loss,train/reward
2500,1.0121270418167114,12500,2499,-41.48091125488281,0.0007,215,0.0,-72.86835479736328,57,3.09307599067688,-0.5068651
2600,1.010190725326538,13000,2599,-41.4156608581543,0.0007,215,0.0,174.7812957763672,60,20.954923629760742,0.5506113
2700,1.0104411840438843,13500,2699,-41.4345703125,0.0007,216,0.0,-0.4880882203578949,62,1.565484642982483,-1.7036372
2800,1.0093058347702026,14000,2799,-41.395973205566406,0.0007,216,0.0,370.950927734375,64,83.69189453125,0.67756295
2900,1.0078295469284058,14500,2899,-41.360260009765625,0.0007,216,0.0,-113.52630615234375,67,6.977877616882324,2.4693701
3000,1.007828950881958,15000,2999,-41.356231689453125,0.0007,216,0.0,14.048139572143555,69,0.30647844076156616,-0.2753607
3100,1.0094401836395264,15500,3099,-41.39426040649414,0.0007,216,0.0,60.58707809448242,71,2.817095994949341,-0.08998335
3200,1.0079902410507202,16000,3199,-41.35029602050781,0.0007,216,0.0,-166.0172576904297,73,36.912261962890625,-2.5651124
3300,1.0104074478149414,16500,3299,-41.423580169677734,0.0007,216,0.0,33.87065505981445,76,3.0984673500061035,0.04746175
3400,1.0090806484222412,17000,3399,-41.3884162902832,0.0007,216,0.0,139.71299743652344,78,27.562305450439453,-7.7193065
3500,1.004949688911438,17500,3499,-41.2587776184082,0.0007,216,-0.0011922121047973633,133.17376708984375,80,15.885492324829102,0.105713904
3600,1.0044838190078735,18000,3599,-41.241214752197266,0.0007,216,0.0,-111.89750671386719,83,8.57374095916748,1.5293759
3700,1.0044690370559692,18500,3699,-41.2464485168457,0.0007,215,0.0,250.3866729736328,85,45.54271697998047,0.7930316
3800,1.0011916160583496,19000,3799,-41.15720748901367,0.0007,214,0.0,122.9619369506836,88,13.3329439163208,3.6994367
3900,1.0028185844421387,19500,3899,-41.203392028808594,0.0007,214,0.0,-217.73910522460938,90,30.298229217529297,1.0794936
4000,1.0029551982879639,20000,3999,-41.20637512207031,0.0007,214,0.0,-172.1929168701172,93,21.850095748901367,5.001368
4100,1.0036625862121582,20500,4099,-41.223785400390625,0.0007,214,0.004498779773712158,-24.549440383911133,95,1.9992492198944092,0.41576684
4200,1.005276083946228,21000,4199,-41.269248962402344,0.0007,212,5.960464477539063e-08,-86.195556640625,98,4.831093788146973,0.28694078
4300,1.0065854787826538,21500,4299,-41.30775833129883,0.0007,212,5.960464477539063e-08,-65.6658706665039,101,3.8419926166534424,4.59279
4400,1.0088655948638916,22000,4399,-41.368003845214844,0.0007,212,0.13136446475982666,41.4500617980957,103,3.9321799278259277,2.9334004
4500,1.007204532623291,22500,4499,-41.322662353515625,0.0007,212,0.0,354.90826416015625,105,76.20484161376953,1.5301763
4600,1.0063576698303223,23000,4599,-41.30474853515625,0.0007,212,0.0,211.257568359375,108,29.9676570892334,3.5699492
4700,1.0075262784957886,23500,4699,-41.3309211730957,0.0007,212,-0.012653589248657227,-125.7191390991211,110,13.341792106628418,-0.2661236
4800,1.0110360383987427,24000,4799,-41.42529296875,0.0007,212,0.0,-169.25320434570312,113,22.42522430419922,-1.107361
